588	307
114	588
670	114
4230	670
157	114
157	670
157	416
4233	670
3557	5673
5673	5675
6459	5674
5674	5676
422	641
641	157
641	5675
641	5676
641	1885
641	350
641	4637
4637	1245
2737	350
350	1241
350	416
350	189
570	350
346	570
189	346
346	1120
1120	517
681	416
416	269
269	2737
269	3892
269	1194
1277	4637
1194	1277
1194	4549
137	1194
1235	137
1235	124
5404	124
5404	5397
1613	5404
1613	5397
1613	124
5397	124
5401	124
124	446
446	52
52	29
29	718
5400	124
5400	159
159	275
636	96
636	275
5399	124
5399	794
492	89
492	124
492	5402
29	689
189	1233
1233	93
93	3892
258	577
116	577
116	93
577	1094
93	111
1094	111
6893	111
222	6893
184	111
111	354
111	118
111	447
4256	357
4256	43
329	352
352	357
6156	352
354	118
354	85
85	352
85	665
85	275
95	794
95	85
118	85
89	95
89	31
1083	31
689	1083
31	92
85	92
103	29
92	103
92	1177
92	1236
257	345
345	1236
345	199
310	231
118	231
85	279
236	118
1159	236
231	199
117	199
4916	4896
4896	2741
2739	2741
117	119
119	2739
119	3090
620	117
301	117
121	117
281	117
447	281
281	279
447	279
279	4691
440	143
143	445
445	3479
234	445
101	143
101	9332
101	234
234	5928
101	415
415	504
921	415
568	921
1300	921
1300	4807
4807	921
3090	3838
3838	4376
4376	4640
4640	3373
3373	4751
4751	4823
4874	1300
4895	4874
44	1304
44	4895
44	942
44	35
286	361
362	361
361	35
35	144
144	942
242	330
242	144
242	385
385	1762
81	104
104	130
655	144
130	655
4734	130
4677	4734
4823	4677
4051	4677
130	3794
20	130
20	3794
575	20
2	575
2	20
2	8
8	20
1260	2
1260	224
131	206
360	206
206	8
262	5512
559	5512
559	147
147	20
212	147
212	20
212	294
21	155
21	212
5692	212
5692	5698
19	1137
19	4425
73	19
409	73
155	73
1118	155
1118	5699
1118	2291
1118	109
5699	5698
2291	155
1077	2291
1077	155
1077	73
1077	5699
2291	97
2291	109
5699	109
5699	5688
1102	5699
1528	5688
5684	1528
1102	188
188	37
188	109
263	1102
263	1077
459	363
363	364
214	364
364	365
460	365
239	365
365	1346
460	1346
1346	15
15	75
15	105
380	106
881	526
1168	106
106	526
106	105
1103	105
299	105
295	1103
441	263
3082	441
458	705
705	112
112	63
75	63
112	55
475	55
475	299
337	295
337	438
49	438
49	3082
49	152
169	438
64	169
64	25
334	555
334	232
25	334
169	327
327	3406
3406	62
62	77
315	750
134	315
77	134
77	327
77	437
437	1250
4133	1250
624	4133
25	624
77	1165
1165	2
1165	3912
1912	25
1165	3287
148	3912
25	3287
5715	25
5829	25
26	25
1251	4002
4002	5662
26	1251
26	1469
1724	1054
751	1054
751	5354
5354	3428
448	3428
341	448
235	341
129	341
129	235
1143	129
1107	1143
418	1107
418	356
5572	26
26	311
311	417
417	158
158	311
42	311
42	232
332	356
332	24
2350	499
499	1551
499	603
603	48
48	311
48	149
123	233
4236	233
4236	4411
4411	2631
2631	2504
1271	685
141	2504
183	141
4039	141
141	966
4039	4181
522	966
522	864
78	463
463	3506
3506	78
1302	3506
1302	4302
108	4302
328	108
108	251
826	79
79	166
82	1179
254	166
254	1179
254	251
1269	251
99	222
3175	1269
493	3175
493	2652
2972	2051
2051	1241
37	1242
37	430
37	5520
37	3508
65	37
109	6006
979	5824
979	97
97	65
97	669
669	51
97	22
1031	51
3899	51
51	1419
3451	51
3465	407
407	6008
6007	6008
6005	6007
6006	6005
22	6006
22	186
22	256
22	41
5714	41
74	22
22	84
22	900
22	36
22	1136
149	22
22	24
1005	65
2218	65
1005	3232
3232	197
197	236
631	197
74	4691
74	631
4691	944
944	2637
2637	230
493	2637
99	5665
469	84
33	84
6244	33
430	931
5520	430
91	430
91	5520
91	1469
49	36
322	527
322	6157
527	6157
6157	579
24	3508
1469	579
248	6157
579	1136
248	579
248	1136
248	1469
36	158
36	74
4039	900
83	1209
1209	685
1209	5744
24	33
5744	4618
3939	5744
149	36
149	122
24	149
24	83
24	158
42	122
42	91
49	99
24	2232
91	2232
24	3939
24	1136
65	22
